iter	Passed	Remaining
399	38897	9724
400	38997	9627
401	39092	9530
402	39188	9432
403	39299	9338
404	39391	9239
405	39490	9143
406	39587	9045
407	39687	8949
408	39795	8854
409	39903	8759
410	39992	8660
411	40095	8564
412	40184	8465
413	40276	8366
414	40390	8272
415	40486	8175
416	40577	8076
417	40663	7977
418	40749	7877
419	40850	7780
420	40949	7684
421	41039	7585
422	41127	7486
423	41213	7387
424	41311	7290
425	41414	7194
426	41525	7099
427	41609	6999
428	41699	6901
429	41794	6803
430	41897	6707
431	41994	6610
432	42084	6511
433	42201	6417
434	42296	6320
435	42387	6222
436	42486	6125
437	42578	6027
438	42666	5928
439	42754	5830
440	42852	5733
441	42930	5633
442	43026	5536
443	43138	5440
444	43235	5343
445	43321	5245
446	43411	5147
447	43527	5052
448	43619	4954
449	43717	4857
450	43795	4758
451	43878	4659
452	43958	4560
453	44054	4463
454	44144	4365
455	44234	4268
456	44331	4171
457	44413	4072
458	44505	3975
459	44604	3878
460	44702	3781
461	44789	3684
462	44876	3586
463	44983	3490
464	45071	3392
465	45165	3295
466	45245	3197
467	45340	3100
468	45437	3003
469	45530	2906
470	45620	2808
471	45709	2711
472	45796	2614
473	45887	2517
474	45986	2420
475	46096	2324
476	46216	2228
477	46331	2132
478	46436	2035
479	46544	1939
480	46649	1842
481	46749	1745
482	46845	1648
483	46948	1552
484	47045	1455
485	47147	1358
486	47258	1261
487	47360	1164
488	47452	1067
489	47556	970
490	47651	873
491	47747	776
492	47846	679
493	47962	582
494	48071	485
495	48186	388
496	48289	291
497	48394	194
498	48506	97
499	48612	0
